,NSGA-II,SPEA2,MOEA/D
hypervolume,0.0,0.0,9231.762524590176
spread,0.5981065437626666,0.5202250982943742,0.7705677231512437
igd,5.339135517476538,7.311170536339228,14.015503325335736
gd,0.8284623226462425,4.938251607874943,0.0
pareto_size,100.0,50.0,168.0
execution_time,155.76085996627808,190.32428431510925,106.11634302139282
memory_usage,2.472489356994629,3.9119873046875,2.2942276000976562
convergence_speed,0.0,0.0,86.996613921468
