Metric,NSGA-II,SPEA2,MOEA/D
Pareto Size,50,50,97
Hypervolume,2063.6914,2600.7170,31.2005
IGD,0.0000,4.8452,16.0903
GD,17.9220,19.9385,19.8808
Spread,0.6173,0.8001,1.0657
Execution Time (s),17.10,15.35,24.49
Memory Usage (MB),9.34,2.99,2.52
Convergence Speed,120.6733,169.4293,1.2742
